game_id,winner,p1_score,p2_score,p1_distance,p2_distance,turns,stalemate,locked_players
0,P2,24000,60000,16000,40000,80,0,0
1,P2,12000,64000,8000,40000,58,0,0
2,Stalemate,51000,8000,39000,4000,112,1,0
3,Stalemate,25000,50000,21000,38000,112,1,1
4,Stalemate,26000,45000,18000,37000,112,1,0
5,Stalemate,47000,13000,35000,9000,112,1,1
6,P1,64000,9000,40000,1000,77,0,1
7,P1,80000,22000,40000,18000,75,0,0
8,P2,20000,60000,12000,40000,46,0,0
9,P2,45000,64000,37000,40000,88,0,0
10,Stalemate,46000,23000,38000,15000,112,1,0
11,Stalemate,26000,44000,18000,36000,112,1,0
12,P1,68000,21000,40000,17000,81,0,0
13,P2,9000,64000,5000,40000,72,0,0
14,P2,32000,76000,28000,40000,84,0,0
15,P1,64000,31000,40000,27000,51,0,0
16,Stalemate,38000,39000,34000,27000,112,1,1
17,Stalemate,13000,49000,9000,37000,112,1,0
18,Stalemate,47000,22000,39000,14000,112,1,0
19,Stalemate,41000,26000,33000,18000,112,1,0
20,P1,56000,47000,40000,35000,79,0,0
21,Stalemate,11000,47000,3000,39000,112,1,0
22,Stalemate,22000,42000,10000,38000,112,1,0
23,Stalemate,51000,24000,39000,20000,112,1,0
24,Stalemate,24000,46000,16000,38000,112,1,0
25,Stalemate,47000,38000,39000,30000,112,1,1
26,Stalemate,27000,38000,19000,30000,112,1,0
27,P2,14000,68000,10000,40000,90,0,0
28,P2,7000,68000,3000,40000,82,0,0
29,P2,5000,60000,1000,40000,46,0,1
30,Stalemate,15000,62000,15000,34000,112,1,0
31,P2,25000,64000,17000,40000,92,0,0
32,Stalemate,20000,18000,12000,10000,112,1,0
33,P2,39000,56000,31000,40000,56,0,0
34,Stalemate,36000,18000,28000,10000,112,1,1
35,Stalemate,39000,40000,27000,36000,112,1,1
36,Stalemate,36000,49000,32000,37000,112,1,0
37,Stalemate,43000,48000,39000,36000,112,1,1
38,P2,4000,80000,0,40000,48,0,1
39,P1,64000,8000,40000,4000,63,0,1
40,Stalemate,23000,37000,15000,29000,112,1,0
41,Stalemate,36000,39000,24000,35000,112,1,0
42,Stalemate,40000,22000,36000,10000,112,1,1
43,Stalemate,16000,34000,12000,22000,112,1,1
44,Stalemate,40000,37000,36000,25000,112,1,1
45,Stalemate,31000,25000,19000,21000,112,1,0
46,Stalemate,37000,47000,29000,39000,112,1,0
47,Stalemate,1000,67000,1000,39000,112,1,0
48,P1,80000,12000,40000,0,97,0,0
49,Stalemate,56000,35000,28000,35000,112,1,0
50,P1,64000,36000,40000,28000,83,0,0
51,P1,64000,40000,40000,32000,89,0,0
52,Stalemate,43000,45000,39000,33000,112,1,0
53,Stalemate,51000,28000,39000,24000,112,1,0
54,P1,60000,30000,40000,26000,49,0,1
55,Stalemate,46000,27000,38000,19000,112,1,0
56,Stalemate,51000,33000,39000,29000,112,1,0
57,Stalemate,22000,32000,14000,24000,112,1,1
58,Stalemate,23000,38000,15000,30000,112,1,0
